Governorate,Facility_Type,Administration,Facility_Name,Facility_Type_EN,Administration_EN,Facility_Name_EN
Ismailia,مركز,إدارة اسماعلية,المستقبل,Markaz,Idaret_Ismailia,ElMostaqbal
Ismailia,مركز,إدارة أبو صوير,الواصفية,Markaz,Idaret_Abu_Suweir,ElWasfia
Ismailia,مركز,إدارة اسماعلية,بدر,Markaz,Idaret_Ismailia,Bdr
Ismailia,مركز,إدارة اسماعلية,حى السلام,Markaz,Idaret_Ismailia,Hay_ElSalam
Ismailia,مركز,إدارة فايد,سرابيوم,Markaz,Idaret_Fayed,Srabywm
Ismailia,مركز,إدارة فايد,فايد,Markaz,Idaret_Fayed,Fayed
Ismailia,مركز,إدارة اسماعلية,نفيشة,Markaz,Idaret_Ismailia,Nfysha
Ismailia,مستشفى,إدارة أبو صوير,ابو صوير المركزي,Mostashfa,Idaret_Abu_Suweir,Abu_Suweir_ElMarkazi
Ismailia,مستشفى,إدارة القنطرة شرق,القنطرة شرق المركزي,Mostashfa,Idaret_ElQantara_Shark,ElQantara_Shark_ElMarkazi
Ismailia,مستشفى,إدارة القنطرة غرب,القنطرة غرب المركزي,Mostashfa,Idaret_ElQantara_Gharb,ElQantara_Gharb_ElMarkazi
Ismailia,مستشفى,إدارة اسماعلية,اورام الاسماعيلية,Mostashfa,Idaret_Ismailia,Awram_ElIsmailia
Ismailia,مستشفى,إدارة القصاصين,جراحات اليوم الواحد بالقصاصين,Mostashfa,Idaret_ElQassasin,Gerahat_ElYom_ElWahed_BelQassasin
Ismailia,مستشفى,إدارة اسماعلية,طوارئ ابو خليفة للجراحات المتخصصة,Mostashfa,Idaret_Ismailia,Tawary_Abu_Khalifa_LelGerahat_ElMotakhassesa
Ismailia,مستشفى,إدارة فايد,فايد المركزي,Mostashfa,Idaret_Fayed,Fayed_ElMarkazi
Ismailia,مستشفى,إدارة اسماعلية,مجمع الاسماعيلية الطبي,Mostashfa,Idaret_Ismailia,Magmaa_ElIsmailia_ElTebbi
Ismailia,مستشفى,إدارة اسماعلية,مركز 30 يونيو الدولي,Mostashfa,Idaret_Ismailia,Markaz_30_Yunio_ElDawly
Ismailia,مستشفى,إدارة اسماعلية,مركز اعادة التأهيل والروماتويد,Mostashfa,Idaret_Ismailia,Markaz_Eaadet_ElTaaheel_WElrwmatwyd
Ismailia,مستشفى,إدارة التل الكبير,مستشفى التل الكبير المركزي,Mostashfa,Idaret_ElTal_ElKabir,Mostashfa_ElTal_ElKabir_ElMarkazi
Ismailia,مستشفى,إدارة اسماعلية,مستشفى رمد الإسماعيلية,Mostashfa,Idaret_Ismailia,Mostashfa_Ramd_ElIsmailia
Ismailia,وحدة,إدارة اسماعلية,أبو بلح,Wehda,Idaret_Ismailia,Abu_Balah
